sample,cluster,methylation_class
SAMPLE 366,4,"LGG, PA MID"
SAMPLE 367,4,"LGG, PA PF"
SAMPLE 368,4,"LGG, PA PF"
SAMPLE 369,4,"LGG, PA PF"
SAMPLE 370,4,"CONTR, REACT"
SAMPLE 371,4,"LGG, PA PF"
SAMPLE 372,4,"LGG, PA MID"
SAMPLE 373,11,"EPN, PF B"
SAMPLE 374,11,"EPN, PF B"
SAMPLE 375,11,"EPN, RELA"
SAMPLE 376,11,"EPN, PF B"
SAMPLE 377,11,"EPN, PF A"
SAMPLE 378,11,"EPN, RELA"
SAMPLE 379,4,"EPN, PF B"
SAMPLE 380,1,"CONTR, CEBM"
SAMPLE 381,1,"CONTR, CEBM"
SAMPLE 382,4,"CONTR, HEMI"
SAMPLE 383,4,"CONTR, HEMI"
SAMPLE 384,4,"CONTR, HEMI"
SAMPLE 385,4,"CONTR, HEMI"
SAMPLE 386,4,"CONTR, HEMI"
SAMPLE 387,4,"CONTR, HEMI"
SAMPLE 388,1,"MB, SHH INF"
SAMPLE 389,13,"MB, G4"
SAMPLE 390,13,"MB, G3"
SAMPLE 391,13,"MB, WNT"
SAMPLE 392,13,"MB, G4"
SAMPLE 393,13,"MB, G4"
SAMPLE 394,13,"MB, G4"
SAMPLE 395,1,"MB, SHH CHL AD"
SAMPLE 396,13,"MB, G3"
SAMPLE 397,13,"MB, G4"
SAMPLE 398,1,"MB, SHH INF"
SAMPLE 399,13,"MB, G4"
SAMPLE 400,13,"MB, G4"
SAMPLE 401,13,"MB, G4"
SAMPLE 402,1,"MB, SHH INF"
SAMPLE 403,13,"MB, WNT"
SAMPLE 404,1,"MB, SHH INF"
SAMPLE 405,1,"MB, SHH INF"
SAMPLE 406,13,"MB, SHH CHL AD"
SAMPLE 407,13,"MB, G4"
SAMPLE 408,1,"MB, SHH INF"
SAMPLE 409,13,"MB, G4"
SAMPLE 410,13,"MB, G3"
SAMPLE 411,13,"MB, G3"
SAMPLE 412,13,"MB, G4"
SAMPLE 413,13,"MB, G3"
SAMPLE 414,13,"MB, G3"
SAMPLE 415,13,"MB, G4"
SAMPLE 416,13,"MB, G4"
SAMPLE 417,13,"MB, G3"
SAMPLE 418,1,"MB, SHH INF"
SAMPLE 419,13,"MB, G4"
SAMPLE 420,13,"MB, G4"
SAMPLE 421,13,"MB, G4"
SAMPLE 422,13,"MB, G3"
SAMPLE 423,13,"MB, G4"
SAMPLE 424,13,"MB, G4"
SAMPLE 425,1,"MB, SHH INF"
SAMPLE 426,13,"MB, G4"
SAMPLE 427,13,"MB, G4"
SAMPLE 428,13,"MB, G4"
SAMPLE 429,13,"MB, G3"
SAMPLE 430,13,"MB, WNT"
SAMPLE 431,13,"MB, G4"
SAMPLE 432,13,"MB, G4"
SAMPLE 433,13,"MB, G4"
SAMPLE 434,13,"MB, G3"
SAMPLE 435,1,"MB, SHH INF"
SAMPLE 436,13,"MB, G4"
SAMPLE 437,13,"MB, G4"
SAMPLE 438,13,"MB, G4"
SAMPLE 439,13,"MB, G4"
SAMPLE 440,1,"MB, SHH INF"
SAMPLE 441,13,"MB, SHH CHL AD"
SAMPLE 442,13,"MB, G3"
SAMPLE 443,13,"MB, SHH CHL AD"
SAMPLE 444,13,"MB, G4"
SAMPLE 445,13,"MB, G3"
SAMPLE 446,13,"MB, G3"
SAMPLE 447,13,"MB, WNT"
SAMPLE 448,13,"MB, G4"
SAMPLE 449,13,"MB, G3"
SAMPLE 450,13,"MB, G4"
SAMPLE 451,13,"MB, G3"
SAMPLE 452,13,"MB, G4"
SAMPLE 453,13,"MB, SHH CHL AD"
SAMPLE 454,13,"MB, SHH CHL AD"
SAMPLE 455,13,"MB, G4"
SAMPLE 456,13,"MB, G4"
SAMPLE 457,13,"MB, G4"
SAMPLE 458,13,"MB, G4"
SAMPLE 459,13,"MB, WNT"
SAMPLE 460,13,"MB, G4"
SAMPLE 461,1,"MB, SHH INF"
SAMPLE 462,13,"MB, G3"
SAMPLE 463,13,"MB, G3"
SAMPLE 464,13,"MB, G3"
SAMPLE 465,1,"MB, SHH INF"
SAMPLE 466,13,"MB, WNT"
SAMPLE 467,13,"MB, G4"
SAMPLE 468,13,"MB, SHH INF"
SAMPLE 469,13,"MB, WNT"
SAMPLE 470,11,"HGNET, MN1"
SAMPLE 471,9,ETMR
SAMPLE 472,13,"MB, G4"
SAMPLE 473,13,"MB, SHH INF"
